	"Y" 			"X0" 	"X1" 			"X2" 			"X3" 			"X4"
"1" 	-11.1728824253662 	1 	2.71518386134711 	0.0206274361079149 	0.18621596164634 	2.56960936358428
"2" 	-0.546507508242395 	1 	0.723113934763673 	0.0600376112871784 	1.71482778369732 	2.11489638188828
"3" 	NA 			1 	0.998124459692368 	1.28665202913718 	0.980221038458406 	5.10363756052723e-05
"4" 	-7.95957573257016 	1 	1.97013060588543 	0.051001431569127 	0.96597120003504 	1.9569518951641
"5" 	-5.17832434028588 	1 	NA 			NA 			0.0193400052496892 	1.57310495030949
"6" 	0.737159226356895 	1 	0.457617195648281 	NA 			1.56678017186831 	1.27105881641121
"7" 	1.36444934209815 	1 	0.288827542019089 	0.227192549483254 	1.11186819920642 	NA
"8" 	0.114104648300731 	1 	0.368961144124634 	0.248353462725017 	NA 			1.55149256912242
"9" 	1.01656293138664 	1 	NA 			0.405546902167919 	0.142838409422173 	0.88882654230737
"10" 	-8.7901527127495 	1 	NA 			0.0416383912598654 	1.44179506472954 	NA
"11" 	0.270229796242215 	1 	NA 			0.0200722220409122 	2.16374051077695 	1.22837524504239
"12" 	-3.9785915812545 	1 	1.89979405365046 	1.06487453587577 	1.93265747615099 	NA
"13" 	2.3099927646338 	1 	NA 			0.450725124568017 	0.104385684522796 	1.1899008903972
"14" 	NA 			1 	NA 			1.84361388791589 	0.704148334920263 	0.862789166578537
"15" 	-9.53579979753471 	1 	2.637592227116 		NA 			2.12406620050173 	0.333460064230495
"16" 	-5.19041076889853 	1 	1.88437369034825 	0.927349831677226 	0.999698431073338 	NA
"17" 	-2.62019153486447 	1 	0.998975905962738 	0.107604108699559 	0.675917165381232 	NA
"18" 	4.56722638305188 	1 	0.0767075793722055 	1.57091162380724 	NA 			1.35907135409546
"19"	-4.01447315830192 	1 	NA 			0.351284660983942 	1.69888782890176 	2.27985069031634
"20" 	NA 			1 	0.415640396566432 	0.877474061311763 	NA 			1.32727543061526
"21" 	NA 			1 	0.363987919700127 	1.63390275505794 	2.85792761225884 	NA
"22" 	-2.61315233839429 	1 	NA 			NA 			0.0548074358705457 	0.0838325639261779
"23" 	NA 			1 	2.93365519642047 	NA 			NA 			1.27741455129274
"24" 	5.26441960299899 	1 	NA 			2.68111154794173 	0.203072296538627 	2.8466941834418
"25" 	-3.52140521938249 	1 	NA 			NA 			0.142836173830564 	1.47131784848844
"26" 	-5.14386862744081 	1 	NA 			0.0169445395334798 	NA 			0.361276683254321
"27" 	NA 			1 	2.94802320559852 	2.73624378249889 	NA 			NA
"28" 	-10.3264857169443 	1 	2.77672108735588 	NA 			0.0461153822663602 	NA
"29" 	-8.27313669455817 	1 	2.77668165743973 	NA 			0.00652906801328603 	NA
"30" 	-3.13553153716624 	1 	NA 			0.571199856778937 	NA 			0.0190345485470731
"31" 	NA 			1 	2.28638387863176 	NA 			NA 			0.00986933410667782
"32" 	-1.15121651104417 	1 	0.589902934812319 	NA 			NA 			0.40185404565636
"33" 	1.78220033446637 	1 	0.863654927663266 	2.1935414676852 	0.372361579642957 	NA
"34" 	-0.996867217308086 	1 	0.490106876467946 	NA 			NA 			0.855296416079193
"35" 	0.342680840955726 	1 	1.04495974707033 	2.05679353614293 	NA 			0.408841260452637
"36" 	2.36855728034838 	1 	0.00358500882041092 	NA 			1.30271455926965 	2.02960393348013
